mean,std,max,min,peak_to_peak,skewness,kurtosis,energy,zero_crossings,entropy,peak_count,slope_changes,label
3.7203480072644393,0.008304498706888503,3.756747976961283,3.6806463195210797,0.07610165744020314,-0.15352946906517,1.7121518744423856,13841.058259855257,0,2.1767604485723395,334,667,0
3.719815916998432,0.007374761892842781,3.7627926130482217,3.6747286346760193,0.08806397837220237,-0.5279346795422459,5.723823926132857,13837.084843467861,0,1.8565061102954186,329,658,0
3.720072671002229,0.007398062349484858,3.7644792125795656,3.6940044129955543,0.07047479958401137,0.756815273780822,3.933713429158571,13838.995408864186,0,2.0965390646365307,326,652,0
3.719713748272353,0.007627375378275408,3.756888447685421,3.6838197864199613,0.07306866126545986,-0.10201829674958798,1.9485233278908103,13836.32854594152,0,2.1229108312141554,326,652,0
3.7200026350214292,0.007563809498708999,3.755347558849831,3.6722645835548455,0.08308297529498532,-0.45605018861621666,4.739350469575016,13838.47681578051,0,1.9507082070004218,327,655,0
3.720034781646929,0.00605438539905247,3.752678027381589,3.677911601760887,0.07476642562070213,-0.9968422683995121,12.419352361282154,13838.695432245473,0,1.7075149233246725,319,638,0
3.7202653381821404,0.008219230623207762,3.759560306884582,3.6876275647643166,0.07193274212026557,-0.060969287603430025,1.5058348616861439,13840.441742231515,0,2.2237815998471375,325,650,0
3.7197244699640506,0.0067838707274043,3.7489649221210035,3.682456820939764,0.06650810118123962,-0.45343520352064065,3.2812137748387107,13836.396153351383,0,2.080004946477047,326,653,0
3.7199759965900805,0.0063019345581656495,3.7516174476898176,3.678527230289192,0.0730902174006256,-0.5105874150143024,8.596163926836146,13838.261129585539,0,1.8251966128640482,318,636,0
3.719855400059801,0.006822629550394542,3.757920328977976,3.691490328704644,0.06643000027333201,0.8964328975523183,4.496791341887408,13837.370745628044,0,2.073926730259415,325,651,0
3.72029932641267,0.008533639551145571,3.761570504416911,3.6793303858965105,0.0822401185204007,0.1002883515701518,1.3121543658604864,13840.699901110554,0,2.1290129307431065,326,652,0
3.7203350916915823,0.008038565056302476,3.765407844545441,3.6726406008442445,0.09276724370119638,-0.130395738219013,6.553100285616049,13840.957812999979,0,1.8673003973215476,316,632,0
3.7198737982384835,0.006974296668872125,3.7579280443340117,3.6865688793941875,0.0713591649398242,0.027773776805344735,5.151871675578372,13837.509715635233,0,1.988691400429799,316,632,0
3.7201205586403465,0.006657009102295465,3.7586934435399306,3.6795071325279953,0.0791863110119353,-0.4012211458508789,8.148371124914023,13839.341286588751,0,1.8121785528430516,338,676,0
3.719961234529624,0.005699396567831697,3.751418409099533,3.6869904113801066,0.06442799771942642,-0.02213880462633037,6.423312320375176,13838.144069524402,0,1.8746548484409697,327,654,0
3.720200665826618,0.005874818197829879,3.7560861307100777,3.6924078107421003,0.06367831996797735,0.611725218602904,5.070065297163056,13839.92750750567,0,1.9670687447888728,332,664,0
3.7200036212173213,0.008065522755585823,3.7628660199108404,3.676734096928425,0.08613192298241534,-0.01362471701381294,4.83112697847519,13838.491994527303,0,1.9707937012702152,343,687,0
3.7199829412380194,0.006751182046682589,3.754745915045167,3.674783171276306,0.07996274376886081,-0.6490342730790566,11.263735034234852,13838.318661560894,0,1.7429898330772984,321,642,0
3.7199476021996905,0.006731633277953405,3.753411005721946,3.672424426845081,0.08098657887686489,-0.2242955733663515,7.61168066147375,13838.055477997816,0,1.8052012923899423,323,646,0
3.7201836392585514,0.006899018304159479,3.762858658908229,3.683950817307607,0.0789078416006217,0.4402861522135013,6.013278840889653,13839.813906260564,0,1.875446672101425,334,668,0
3.7200050521467993,0.007426916168156785,3.75734035915787,3.6757987590548558,0.08154160010301403,-0.4128023317085342,6.935021027822929,13838.49274708148,0,1.9057053828688495,322,643,0
3.7201946004014217,0.008070116562008215,3.766459977870998,3.6785058382267706,0.0879541396442276,0.2718089273018709,4.480314111832038,13839.912991637219,0,1.9569689794655702,338,676,0
3.719660575067721,0.0068373042830715556,3.7516105367781485,3.685468848637896,0.06614168814025234,-0.23426675809584072,3.650465886166195,13835.92154244299,0,2.085188523185654,331,663,0
3.720215890638411,0.008433422279458959,3.765322404937448,3.6749081348593546,0.09041427007809322,0.17967682945516725,3.423822397781211,13840.07739556989,0,1.9908610766133337,333,666,0
3.7197574877059956,0.008321580364735669,3.7478645119751848,3.684260421331709,0.06360409064347561,-0.10905989516533464,0.7727568136738441,13836.665016044586,0,2.3710851933390424,327,654,0
3.720301069903858,0.007348630828105827,3.763184852742298,3.689291550312426,0.0738933024298718,0.30075467129113487,3.0734363856622107,13840.694053102836,0,2.071101428246831,328,657,0
3.7199583271069625,0.007830027014842773,3.7575179586432483,3.6799284676562034,0.07758949098704493,-0.2441626169311409,2.7659024966514822,13838.151264735485,0,2.0781706308205865,332,664,0
3.72000954753627,0.005509085681732656,3.745127622572425,3.6850206762107898,0.06010694636163505,-0.7032257360137851,6.686910364469853,13838.501383786048,0,1.9174878198241032,322,644,0
3.719843954182633,0.007822960912349939,3.7666757262917305,3.6809243884385117,0.08575133785321887,0.12971338948648853,3.6428877090949374,13837.300242186524,0,1.9631268256742256,325,650,0
3.7199258182123414,0.00657412351940897,3.7592724187831252,3.689950775885161,0.06932164289796416,0.33383819297020706,3.7758105456704003,13837.891312102805,0,2.0041283406250643,336,672,0
3.7198849053905225,0.005932942584127928,3.752015774563259,3.6834876786020043,0.06852809596125464,-0.46130584169584105,8.16675428601129,13837.578909159962,0,1.8269094441221385,323,646,0
